case_name,dataset,score
S50_S0395,real_train,0.8269596
A60_S0373,real_train,0.8674715
S50_S1158,real_train,0.8150373
S60_S0514,real_train,0.8974116
S50_S0428,real_train,0.7917633
S50_S0956,real_train,0.82464707
S40_S1104,real_train,0.6949396
S60_S0609,real_train,0.86649394
S50_S0360,real_train,0.6356168
S60_S0475,real_train,0.8599291
S60_S0988,real_train,0.83648396
A60_S0114,real_train,0.8926043
S40_S0354,real_train,0.7429483
S60_S0203,real_train,0.8832115
S60_S0532,real_train,0.87294436
S40_S0410,real_train,0.582445
S60_S0082,real_train,0.8691698
S60_S0843,real_train,0.8751995
A60_S0206,real_train,0.85664064
A30_S0371,real_train,0.50654435
S60_S0085,real_train,0.86642116
S50_S0709,real_train,0.8523176
S60_S1074,real_train,0.843194
S50_S0587,real_train,0.8489701
S50_S1130,real_train,0.80290395
S50_S0329,real_train,0.79562736
S50_S1088,real_train,0.8090641
S60_S1149,real_train,0.8468527
S50_S0915,real_train,0.75478643
A50_S0445,real_train,0.8047489
S60_S0222,real_train,0.84364784
S50_S1095,real_train,0.7943294
S50_S0421,real_train,0.7576545
S40_S0540,real_train,0.6733511
S50_S0116,real_train,0.78445214
A40_S0859,real_train,0.6818364
A40_S0455,real_train,0.68826056
S60_S0822,real_train,0.8621181
S60_S0138,real_train,0.85296726
S60_S0356,real_train,0.8541474
A60_S0087,real_train,0.87576586
A50_S0757,real_train,0.8082035
A40_S0351,real_train,0.7152646
S60_S0994,real_train,0.8850306
A60_S0299,real_train,0.89150804
S50_S0055,real_train,0.77673024
S60_S0105,real_train,0.8266944
S40_S0181,real_train,0.48162046
A60_S0796,real_train,0.88539726
S40_S0665,real_train,0.7121814
S50_S0854,real_train,0.82955354
S40_S0352,real_train,0.7573122
S50_S0494,real_train,0.8174343
S50_S0089,real_train,0.8384677
A50_S0789,real_train,0.8153774
A50_S0033,real_train,0.86067474
S40_S1197,real_train,0.6456621
S50_S0733,real_train,0.79850525
A50_S0708,real_train,0.85374814
S70_S0984,real_train,0.86105394
S50_S0194,real_train,0.82281
S60_S0353,real_train,0.86277616
S70_S0835,real_train,0.8681545
A50_S0050,real_train,0.8448885
S60_S0237,real_train,0.8624523
A40_S0143,real_train,0.68346155
A50_S0931,real_train,0.8441056
A40_S0612,real_train,0.6140228
S50_S0066,real_train,0.7411221
S40_S0193,real_train,0.56736743
A60_S0006,real_train,0.856308
S60_S0072,real_train,0.89301807
A60_S0201,real_train,0.8960742
S60_S0787,real_train,0.88439023
S60_S0176,real_train,0.8823025
A40_S0998,real_train,0.7453803
S60_S0556,real_train,0.85463053
A70_S0691,real_train,0.87387
S50_S1175,real_train,0.8457374
S50_S1073,real_train,0.84036225
S50_S1086,real_train,0.8202244
A60_S0869,real_train,0.8692543
S50_S1007,real_train,0.7821884
A60_S0476,real_train,0.86684835
S50_S1094,real_train,0.8117813
S40_S1112,real_train,0.7491953
S40_S1057,real_train,0.746235
A60_S0661,real_train,0.86885095
S60_S0247,real_train,0.8594365
S60_S0512,real_train,0.8754229
A60_S0658,real_train,0.85808635
S60_S1102,real_train,0.8687731
S70_S0537,real_train,0.89278966
A60_S0093,real_train,0.8823335
A50_S0960,real_train,0.8134982
S50_S0366,real_train,0.73825437
S50_S1105,real_train,0.82210654
S40_S0444,real_train,0.66131896
S50_S1008,real_train,0.800381
S50_S0012,real_train,0.83730936
S60_S0271,real_train,0.88110155
S60_S0104,real_train,0.8956252
A50_S0507,real_train,0.808447
S50_S0404,real_train,0.8196664
S40_S0323,real_train,0.5981526
A30_S0192,real_train,0.6071403
S70_S0357,real_train,0.87295485
S70_S1071,real_train,0.8603143
S50_S0391,real_train,0.831196
S60_S0824,real_train,0.86031246
A50_S0262,real_train,0.83851796
A60_S0112,real_train,0.88009334
A40_S0469,real_train,0.6225936
S60_S0862,real_train,0.8817133
S60_S0123,real_train,0.8509031
S50_S0145,real_train,0.81871635
S40_S0736,real_train,0.6830167
S40_S1034,real_train,0.57390976
